
name ,dg interest,condition,cleansing,bubbly,hardness,longevity,stability,sap,lauric,linoleic,linolenic,myristic,oleic,palmitic,ricinoleic,stearic,id,docosenoid,eicosenoic,capric,erucic,iodine,caprylic,saturated,mono-unsaturated %,poly-unsaturated %,ins,docosadienoic
"Almond Oil, sweet",a,89,0,0,7,7,7,0.195,0,18,0,0,71,7,0,0,3,0,0,0,0,,0,7,71,18,97,0
Castor Oil,a,98,0,90,0,0,90,0.18,0,4,0,0,4,0,90,0,25,0,0,0,0,,0,0,94,4,95,0
"Coconut Oil, 76 deg",a,10,67,67,79,12,12,0.257,48,2,0,19,8,9,0,3,30,0,0,0,0,,0,79,8,2,258,0
"Coconut Oil, 92 deg",a,10,67,67,79,12,12,0.257,48,2,0,19,8,9,0,3,31,0,0,0,0,,0,79,8,2,258,0
"Coconut Oil, fractionated",a,0,100,100,100,0,0,0.325,2,0,0,1,0,0,0,0,32,0,0,43,0,,54,100,0,0,324,0
"Lard, Pig Tallow (Manteca)",a,52,1,1,42,41,41,0.198,0,6,0,1,46,28,0,13,61,0,0,0,0,,0,42,46,6,139,0
Olive Oil,a,82,0,0,17,17,17,0.19,0,12,1,0,69,14,0,3,87,0,0,0,0,,0,17,69,12,105,0
Palm Oil,a,49,1,1,50,49,49,0.199,0,10,0,1,39,44,0,5,92,0,0,0,0,,0,50,39,10,145,0
"Rice Bran Oil, refined",a,74,1,1,26,25,25,0.187,0,34,2,1,38,22,0,3,114,0,0,0,0,,0,26,38,34,87,0
"Soybean, fully hydrogenated (soy wax)",a,0,0,0,98,98,98,0.192,0,0,0,0,0,11,0,87,132,0,0,0,0,,0,98,0,0,191,0
Babassu Oil,b,10,70,70,85,15,15,0.245,50,0,0,20,10,11,0,4,10,0,0,0,0,,0,85,10,0,230,0
Chicken Fat,b,59,1,1,33,32,32,0.195,0,21,0,1,38,25,0,7,28,0,0,0,0,,0,33,38,21,130,0
Cocoa Butter,b,38,0,0,61,61,61,0.194,0,3,0,0,35,28,0,33,29,0,0,0,0,,0,61,35,3,157,0
"Crisco, old",b,70,0,0,26,26,26,0.192,0,52,0,0,18,13,0,13,40,0,0,0,0,,0,26,18,52,115,0
Palm Kernel Oil,b,18,65,65,75,10,10,0.247,49,3,0,16,15,8,0,2,90,0,0,0,0,,0,75,15,3,227,0
Peanut Oil,b,82,0,0,11,11,11,0.192,0,26,0,0,56,8,0,3,100,0,0,0,0,,0,11,56,26,99,0
Shea Butter,b,54,0,0,45,45,45,0.179,0,6,0,0,48,5,0,40,126,0,0,0,0,,0,45,48,6,116,0
"Shea Oil, fractionated",b,84,0,0,16,16,16,0.185,0,11,0,0,73,6,0,10,127,0,0,0,0,,0,16,73,11,102,0
Soybean Oil,b,82,0,0,16,16,16,0.191,0,50,8,0,24,11,0,5,130,0,0,0,0,,0,16,24,50,61,0
"Soybean, 27.5% hydrogenated",b,49,0,0,24,24,24,0.191,0,7,1,0,41,9,0,15,131,0,0,0,0,,0,24,41,7,113,0
Abyssinian Oil,,33,0,0,5,5,5,0.168,0,11,4,0,18,3,0,2,1,0,0,0,0,,0,5,18,11,70,0
